projekt_nr;signal_count;befunde_count;bewertungsstufen;faelle;gt_kategorie;BEN-01;D-02;D-03;D-04;D-05;D-08;F-01;F-03;N-06;N-08;P-07;P-08
0307;0;0;;;;;;;;;;;;;;;
0308;0;0;;;;;;;;;;;;;;;
0309;0;0;;;;;;;;;;;;;;;
0310-2023;4;2;VERDACHT;FALL-011,FALL-014;;;Diff 75.8% (A=5487.0 R=9646.0);;;RE 20240508: 14222 EUR;;;;2 Akteure: Bierau, Caspari, Fliesen Schmidt,RS Bau, Bierau, Caspari;;;Bierau + JA (BC-Score: 186+190)
0311;0;0;;;;;;;;;;;;;;;
0312;0;0;;;;;;;;;;;;;;;
0313;0;0;;;;;;;;;;;;;;;
0314;0;0;;;;;;;;;;;;;;;
0315;0;0;;;;;;;;;;;;;;;
0317-2023;2;0;;;;;;;;RE 20241108: 6422 EUR;;;;;;;Bierau + JA (BC-Score: 29+29)
0318;0;0;;;;;;;;;;;;;;;
0320;0;0;;;;;;;;;;;;;;;
0321;0;0;;;;;;;;;;;;;;;
0322;0;0;;;;;;;;;;;;;;;
0323;0;0;;;;;;;;;;;;;;;
0324;0;0;;;;;;;;;;;;;;;
0325;0;0;;;;;;;;;;;;;;;
0326;0;0;;;;;;;;;;;;;;;
0327;0;0;;;;;;;;;;;;;;;
0328;0;0;;;;;;;;;;;;;;;
0329;0;0;;;;;;;;;;;;;;;
0330;0;0;;;;;;;;;;;;;;;
0331;0;0;;;;;;;;;;;;;;;
0332;0;0;;;;;;;;;;;;;;;
0334;0;0;;;;;;;;;;;;;;;
0335;0;0;;;;;;;;;;;;;;;
0336;0;0;;;;;;;;;;;;;;;
0337;0;0;;;;;;;;;;;;;;;
0340;0;0;;;;;;;;;;;;;;;
0341;0;0;;;;;;;;;;;;;;;
0342;0;0;;;;;;;;;;;;;;;
0343;0;0;;;;;;;;;;;;;;;
0344;0;0;;;;;;;;;;;;;;;
0345;0;0;;;;;;;;;;;;;;;
0347;0;0;;;;;;;;;;;;;;;
0348;0;0;;;;;;;;;;;;;;;
0349;0;0;;;;;;;;;;;;;;;
0350;0;0;;;;;;;;;;;;;;;
0351;0;0;;;;;;;;;;;;;;;
0352;0;0;;;;;;;;;;;;;;;
0353;0;0;;;;;;;;;;;;;;;
0354;0;0;;;;;;;;;;;;;;;
0355;0;0;;;;;;;;;;;;;;;
2014;0;0;;;;;;;;;;;;;;;
2023;0;0;;;;;;;;;;;;;;;
2024;0;0;;;;;;;;;;;;;;;
2025;0;0;;;;;;;;;;;;;;;
2943;0;0;;;;;;;;;;;;;;;
